domain,actionSource,sourceVmUuid,dynUserGroupName,parentSessionId,destinationDeviceOsVersion,linkChangeCount,sctpAssociationId,sourceDeviceOsVersion,sourceHostName,error2,subcategoryOfApp,ipProtocol,destinationDeviceCategory,tags,dgHierarchyLevel1,uuidForRule,linkSwitches,bytesSent,tunnelIdImsi,@timestamp,nssaiSd,destinationPort,destinationCountry,configVersion,sanctionedStateOfApp,tunnel,packetsSent,sourceDynamicAddressGroup,sessionId,http2Connection,sdwanCluster,packets,sctpChunks,generateTime,clusterName,sdwanSite,destinationUser,syslog_domain,timeLogged,deviceName,sessionEndReason,@version,host,sourceDeviceModel,technologyOfApp,flowType,actionFlags,parentSessionStartTime,bytesReceived,repeatCount,sourcePort,dgHierarchyLevel3,error1,packetsReceived,saasOfApp,sourceDeviceOsFamily,destinationZone,sdwanDeviceType,outboundInterface,podNamespace,serial,tunneledApp,inboundInterface,virtualSystem,sourceDeviceVendor,sctpChunksSent,xffAddress,rule,sessionOwner,category,logAction,sequenceNumber,new_domain,sourceZone,elapsedTimeSec,action,dgHierarchyLevel2,natDestinationIp,destinationAddress,nssaiSst,destinationDynamicAddressGroup,sourceExternalDynamicList,sourceUser,sourceDeviceCategory,receiveTime,characteristicOfApp,sourceMacAddress,policyId,sctpChunksReceived,virtualSystemName,flags,containerOfApp,destinationHostName,destinationDeviceProfile,riskOfApp,offloaded,application,destinationDeviceOsFamily,natDestinationPort,logType,destinationDeviceModel,destinationMacAddress,sdwanClusterType,bytes,destinationVmUuid,highResTimestamp,serialNumber,startTime,dgHierarchyLevel4,sourceDeviceProfile,sourceCountry,hostId,podName,original_domain,sourceAddress,destinationExternalDynamicList,containerId,destinationDeviceVendor,threatContentType,natSourceIp,monitorTagImei,natSourcePort
<14>Dec 28 05:44:37 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,unknown,udp,,"[""_dateparsefailure""]",policy-deny,e90cbdfb-a61c-4c37-92ea-1fc8d7cd4431,,60,0,2024-12-27T20:44:37.745Z,,63588,Korea Republic Of,2817,no,N/A,,,0,0,,1,0,2024/12/28 05:44:37,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:37,VISION-SEOUL-FW,0,1,192.168.200.252,,unknown,0,0x8000000000000000,,0,1,38616,0,7444489203827593647,1,not-applicable,,untrust,,,,023201001129,,ethernet1/2,vsys1,,0,,intrazone-default,,any,PaloLog-forward,,,untrust,0,deny,0,0.0.0.0,118.128.43.82,,,,,,2024/12/28 05:44:37,1,,,0,0,0x0,,,,unknown,no,not-applicable,,0,TRAFFIC,,,,60,,2024-12-28T05:44:37.858+09:00,,2024/12/28 05:44:36,0,,Korea Republic Of,,,VISION-SEOUL-FW.seoulfw 1,110.45.192.90,,,,drop,0.0.0.0,,0
<14>Dec 28 05:44:37 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,unknown,tcp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,74,0,2024-12-27T20:44:37.744Z,,135,192.168.0.0-192.168.255.255,2817,no,N/A,,,296790,0,,1,0,2024/12/28 05:44:37,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:37,VISION-SEOUL-FW,0,1,192.168.200.252,,unknown,0,0x8000000000000000,,0,1,60388,0,7444489203827593645,1,incomplete,,trust,,ae1,,023201001129,,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,0,allow,0,0.0.0.0,192.168.199.201,,,,seoul\administrator,,2024/12/28 05:44:37,1,,,0,0,0x19,,,,unknown,no,incomplete,,0,TRAFFIC,,,,74,,2024-12-28T05:44:37.858+09:00,,2024/12/28 05:44:31,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.252,,,,end,0.0.0.0,,0
<14>Dec 28 05:44:37 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,unknown,udp,,"[""_dateparsefailure""]",policy-deny,e90cbdfb-a61c-4c37-92ea-1fc8d7cd4431,,60,0,2024-12-27T20:44:37.744Z,,7062,Korea Republic Of,2817,no,N/A,,,0,0,,1,0,2024/12/28 05:44:37,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:37,VISION-SEOUL-FW,0,1,192.168.200.252,,unknown,0,0x8000000000000000,,0,1,38059,0,7444489203827593646,1,not-applicable,,untrust,,,,023201001129,,ethernet1/2,vsys1,,0,,intrazone-default,,any,PaloLog-forward,,,untrust,0,deny,0,0.0.0.0,118.128.43.82,,,,,,2024/12/28 05:44:37,1,,,0,0,0x0,,,,unknown,no,not-applicable,,0,TRAFFIC,,,,60,,2024-12-28T05:44:37.858+09:00,,2024/12/28 05:44:36,0,,Korea Republic Of,,,VISION-SEOUL-FW.seoulfw 1,110.45.188.132,,,,drop,0.0.0.0,,0
<14>Dec 28 05:44:37 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,infrastructure,udp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,90,0,2024-12-27T20:44:37.744Z,,53,Korea Republic Of,2817,no,N/A,,,296463,0,,2,0,2024/12/28 05:44:37,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:37,VISION-SEOUL-FW,1,1,192.168.200.252,,networking,0,0x8000000000000000,,196,1,36656,0,7444489203827593644,1,dns-base,,untrust,,ethernet1/2,,023201001129,dns,ae2,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,SERVER,0,allow,0,168.126.63.1,168.126.63.1,,,,,,2024/12/28 05:44:37,3,,,0,0,0x400019,"used-by-malware,has-known-vulnerability,pervasive-use",,,network-protocol,no,dns-base,,53,TRAFFIC,,,,286,,2024-12-28T05:44:37.858+09:00,,2024/12/28 05:44:04,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.100.170,,,,end,118.128.43.82,,40712
<14>Dec 28 05:44:37 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,internet-utility,icmp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,294,0,2024-12-27T20:44:37.743Z,,0,192.168.0.0-192.168.255.255,2817,no,N/A,,,296169,0,,6,0,2024/12/28 05:44:37,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:37,VISION-SEOUL-FW,3,1,192.168.200.252,,general-internet,0,0x8000000000000000,,294,3,30231,0,7444489203827593639,3,untunneled,,trust,,ae1,,023201001129,,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,0,allow,0,0.0.0.0,192.168.200.1,,,,,,2024/12/28 05:44:37,2,,,0,0,0x100019,"has-known-vulnerability,tunnel-other-application,pervasive-use",,,network-protocol,no,ping,,0,TRAFFIC,,,,588,,2024-12-28T05:44:37.857+09:00,,2024/12/28 05:44:21,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.254,,,,end,0.0.0.0,,0
<14>Dec 28 05:44:37 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,infrastructure,udp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,90,0,2024-12-27T20:44:37.743Z,,123,Korea Republic Of,2817,no,N/A,,,296371,0,,2,0,2024/12/28 05:44:37,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:37,VISION-SEOUL-FW,1,1,192.168.200.252,,networking,0,0x8000000000000000,,90,1,123,0,7444489203827593642,1,ntp-base,,untrust,,ethernet1/2,,023201001129,ntp,ae2,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,SERVER,0,allow,0,106.247.248.106,106.247.248.106,,,,,,2024/12/28 05:44:37,2,,,0,0,0x40007a,"used-by-malware,pervasive-use",,,network-protocol,no,ntp-base,,123,TRAFFIC,,,,180,,2024-12-28T05:44:37.858+09:00,,2024/12/28 05:44:03,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.100.171,,,,end,118.128.43.82,,24903
<14>Dec 28 05:44:37 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,infrastructure,udp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,187,0,2024-12-27T20:44:37.743Z,,53,Korea Republic Of,2817,no,N/A,,,296614,0,,4,0,2024/12/28 05:44:37,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:37,VISION-SEOUL-FW,2,1,192.168.200.252,,networking,0,0x8000000000000000,,475,1,39457,0,7444489203827593640,2,dns-base,,untrust,,ethernet1/2,,023201001129,dns,ae2,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,SERVER,1,allow,0,168.126.63.1,168.126.63.1,,,,,,2024/12/28 05:44:37,3,,,0,0,0x400019,"used-by-malware,has-known-vulnerability,pervasive-use",,,network-protocol,no,dns-base,,53,TRAFFIC,,,,662,,2024-12-28T05:44:37.858+09:00,,2024/12/28 05:44:02,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.100.171,,,,end,118.128.43.82,,12823
<14>Dec 28 05:44:37 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,infrastructure,udp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,288,0,2024-12-27T20:44:37.743Z,,53,United States,2817,no,N/A,,,295964,0,,6,0,2024/12/28 05:44:37,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:37,VISION-SEOUL-FW,3,1,192.168.200.252,,networking,0,0x8000000000000000,,766,1,60199,0,7444489203827593643,3,dns-base,,untrust,,ethernet1/2,,023201001129,dns,ae2,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,SERVER,1,allow,0,8.8.8.8,8.8.8.8,,,,,,2024/12/28 05:44:37,3,,,0,0,0x400019,"used-by-malware,has-known-vulnerability,pervasive-use",,,network-protocol,no,dns-base,,53,TRAFFIC,,,,1054,,2024-12-28T05:44:37.858+09:00,,2024/12/28 05:44:02,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.100.171,,,,end,118.128.43.82,,4433
<14>Dec 28 05:44:32 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,management,udp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,45501,0,2024-12-27T20:44:32.745Z,,514,192.168.0.0-192.168.255.255,2817,no,N/A,,,295112,0,,102,0,2024/12/28 05:44:32,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:32,VISION-SEOUL-FW,0,1,192.168.200.252,,business-systems,0,0x8000000000000000,,0,1,40530,0,7444489203827593637,102,syslog,,IPSecVPN,,tunnel.1,,023201001129,,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,75,allow,0,0.0.0.0,192.168.1.47,,,,seoul\administrator,,2024/12/28 05:44:32,2,,,0,0,0x5e,"has-known-vulnerability,pervasive-use",,,client-server,no,syslog,,0,TRAFFIC,,,,45501,,2024-12-28T05:44:32.857+09:00,,2024/12/28 05:42:47,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.252,,,,end,0.0.0.0,,0
<14>Dec 28 05:44:32 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,management,udp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,45501,0,2024-12-27T20:44:32.745Z,,514,192.168.0.0-192.168.255.255,2817,no,N/A,,,280757,0,,104,0,2024/12/28 05:44:32,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:44:32,VISION-SEOUL-FW,2,1,192.168.200.252,,business-systems,0,0x8000000000000000,,870,1,58971,0,7444489203827593638,102,syslog,,IPSecVPN,,tunnel.1,,023201001129,,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,75,allow,0,0.0.0.0,192.168.1.131,,,,seoul\administrator,,2024/12/28 05:44:32,2,,,0,0,0x5e,"has-known-vulnerability,pervasive-use",,,client-server,no,syslog,,0,TRAFFIC,,,,46371,,2024-12-28T05:44:32.858+09:00,,2024/12/28 05:42:47,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.252,,,,end,0.0.0.0,,0
