domain,actionSource,sourceVmUuid,dynUserGroupName,parentSessionId,destinationDeviceOsVersion,linkChangeCount,sctpAssociationId,sourceDeviceOsVersion,sourceHostName,error2,subcategoryOfApp,ipProtocol,destinationDeviceCategory,tags,dgHierarchyLevel1,uuidForRule,linkSwitches,bytesSent,tunnelIdImsi,@timestamp,nssaiSd,destinationPort,destinationCountry,configVersion,sanctionedStateOfApp,tunnel,packetsSent,sourceDynamicAddressGroup,sessionId,http2Connection,sdwanCluster,packets,sctpChunks,generateTime,clusterName,sdwanSite,destinationUser,syslog_domain,timeLogged,deviceName,sessionEndReason,@version,host,sourceDeviceModel,technologyOfApp,flowType,actionFlags,parentSessionStartTime,bytesReceived,repeatCount,sourcePort,dgHierarchyLevel3,error1,packetsReceived,saasOfApp,sourceDeviceOsFamily,destinationZone,sdwanDeviceType,outboundInterface,podNamespace,serial,tunneledApp,inboundInterface,virtualSystem,sourceDeviceVendor,sctpChunksSent,xffAddress,rule,sessionOwner,category,logAction,sequenceNumber,new_domain,sourceZone,elapsedTimeSec,action,dgHierarchyLevel2,natDestinationIp,destinationAddress,nssaiSst,destinationDynamicAddressGroup,sourceExternalDynamicList,sourceUser,sourceDeviceCategory,receiveTime,characteristicOfApp,sourceMacAddress,policyId,sctpChunksReceived,virtualSystemName,flags,containerOfApp,destinationHostName,destinationDeviceProfile,riskOfApp,offloaded,application,destinationDeviceOsFamily,natDestinationPort,logType,destinationDeviceModel,destinationMacAddress,sdwanClusterType,bytes,destinationVmUuid,highResTimestamp,serialNumber,startTime,dgHierarchyLevel4,sourceDeviceProfile,sourceCountry,hostId,podName,original_domain,sourceAddress,destinationExternalDynamicList,containerId,destinationDeviceVendor,threatContentType,natSourceIp,monitorTagImei,natSourcePort
<14>Dec 28 05:54:12 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,management,udp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,358,0,2024-12-27T20:54:12.722Z,,514,192.168.0.0-192.168.255.255,2817,no,N/A,,,297588,0,,2,0,2024/12/28 05:54:12,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:54:12,VISION-SEOUL-FW,1,1,192.168.200.252,,business-systems,0,0x8000000000000000,,386,1,60144,0,7444489203827594713,1,syslog,,IPSecVPN,,tunnel.1,,023201001129,,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,0,allow,0,0.0.0.0,192.168.1.131,,,,seoul\administrator,,2024/12/28 05:54:12,2,,,0,0,0x5e,"has-known-vulnerability,pervasive-use",,,client-server,no,syslog,,0,TRAFFIC,,,,744,,2024-12-28T05:54:12.907+09:00,,2024/12/28 05:53:37,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.252,,,,end,0.0.0.0,,0
<14>Dec 28 05:54:12 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,management,udp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,358,0,2024-12-27T20:54:12.722Z,,514,192.168.0.0-192.168.255.255,2817,no,N/A,,,296928,0,,1,0,2024/12/28 05:54:12,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:54:12,VISION-SEOUL-FW,0,1,192.168.200.252,,business-systems,0,0x8000000000000000,,0,1,39005,0,7444489203827594714,1,syslog,,IPSecVPN,,tunnel.1,,023201001129,,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,0,allow,0,0.0.0.0,192.168.1.47,,,,seoul\administrator,,2024/12/28 05:54:12,2,,,0,0,0x5e,"has-known-vulnerability,pervasive-use",,,client-server,no,syslog,,0,TRAFFIC,,,,358,,2024-12-28T05:54:12.907+09:00,,2024/12/28 05:53:37,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.252,,,,end,0.0.0.0,,0
<14>Dec 28 05:54:12 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,infrastructure,udp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,90,0,2024-12-27T20:54:12.722Z,,123,Korea Republic Of,2817,no,N/A,,,297421,0,,1,0,2024/12/28 05:54:12,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:54:12,VISION-SEOUL-FW,0,1,192.168.200.252,,networking,0,0x8000000000000000,,0,1,123,0,7444489203827594715,1,ntp-base,,untrust,,ethernet1/2,,023201001129,ntp,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,0,allow,0,203.248.240.140,203.248.240.140,,,,seoul\administrator,,2024/12/28 05:54:12,2,,,0,0,0x40007a,"used-by-malware,pervasive-use",,,network-protocol,no,ntp-base,,123,TRAFFIC,,,,90,,2024-12-28T05:54:12.907+09:00,,2024/12/28 05:53:38,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.252,,,,end,118.128.43.82,,3194
<14>Dec 28 05:54:12 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,management,udp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,358,0,2024-12-27T20:54:12.722Z,,514,192.168.0.0-192.168.255.255,2817,no,N/A,,,268480,0,,1,0,2024/12/28 05:54:12,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:54:12,VISION-SEOUL-FW,0,1,192.168.200.252,,business-systems,0,0x8000000000000000,,0,1,57644,0,7444489203827594712,1,syslog,,IPSecVPN,,tunnel.1,,023201001129,,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,0,allow,0,0.0.0.0,192.168.1.132,,,,seoul\administrator,,2024/12/28 05:54:12,2,,,0,0,0x5e,"has-known-vulnerability,pervasive-use",,,client-server,no,syslog,,0,TRAFFIC,,,,358,,2024-12-28T05:54:12.906+09:00,,2024/12/28 05:53:37,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.252,,,,end,0.0.0.0,,0
<14>Dec 28 05:54:12 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,unknown,udp,,"[""_dateparsefailure""]",policy-deny,e90cbdfb-a61c-4c37-92ea-1fc8d7cd4431,,60,0,2024-12-27T20:54:12.722Z,,63588,Korea Republic Of,2817,no,N/A,,,0,0,,1,0,2024/12/28 05:54:12,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:54:12,VISION-SEOUL-FW,0,1,192.168.200.252,,unknown,0,0x8000000000000000,,0,1,38616,0,7444489203827594717,1,not-applicable,,untrust,,,,023201001129,,ethernet1/2,vsys1,,0,,intrazone-default,,any,PaloLog-forward,,,untrust,0,deny,0,0.0.0.0,118.128.43.82,,,,,,2024/12/28 05:54:12,1,,,0,0,0x0,,,,unknown,no,not-applicable,,0,TRAFFIC,,,,60,,2024-12-28T05:54:12.907+09:00,,2024/12/28 05:54:09,0,,Korea Republic Of,,,VISION-SEOUL-FW.seoulfw 1,110.45.192.90,,,,drop,0.0.0.0,,0
<14>Dec 28 05:54:12 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,unknown,udp,,"[""_dateparsefailure""]",policy-deny,e90cbdfb-a61c-4c37-92ea-1fc8d7cd4431,,60,0,2024-12-27T20:54:12.722Z,,7062,Korea Republic Of,2817,no,N/A,,,0,0,,1,0,2024/12/28 05:54:12,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:54:12,VISION-SEOUL-FW,0,1,192.168.200.252,,unknown,0,0x8000000000000000,,0,1,38059,0,7444489203827594716,1,not-applicable,,untrust,,,,023201001129,,ethernet1/2,vsys1,,0,,intrazone-default,,any,PaloLog-forward,,,untrust,0,deny,0,0.0.0.0,118.128.43.82,,,,,,2024/12/28 05:54:12,1,,,0,0,0x0,,,,unknown,no,not-applicable,,0,TRAFFIC,,,,60,,2024-12-28T05:54:12.907+09:00,,2024/12/28 05:54:08,0,,Korea Republic Of,,,VISION-SEOUL-FW.seoulfw 1,110.45.188.132,,,,drop,0.0.0.0,,0
<14>Dec 28 05:54:07 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,unknown,udp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,1564,0,2024-12-27T20:54:07.722Z,,5060,Korea Republic Of,2817,no,N/A,,,296555,0,,5,0,2024/12/28 05:54:07,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:54:07,VISION-SEOUL-FW,3,1,192.168.200.252,,unknown,0,0x8000000000000000,,1436,1,5060,0,7444489203827594708,2,insufficient-data,,untrust,,ethernet1/2,,023201001129,,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,0,allow,0,210.207.255.47,210.207.255.47,,,,,,2024/12/28 05:54:07,1,,,0,0,0x400019,,,,unknown,no,insufficient-data,,5060,TRAFFIC,,,,3000,,2024-12-28T05:54:07.906+09:00,,2024/12/28 05:53:33,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.139,,,,end,118.128.43.82,,13928
<14>Dec 28 05:54:07 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,infrastructure,udp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,105,0,2024-12-27T20:54:07.722Z,,53,Korea Republic Of,2817,no,N/A,,,296503,0,,2,0,2024/12/28 05:54:07,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:54:07,VISION-SEOUL-FW,1,1,192.168.200.252,,networking,0,0x8000000000000000,,218,1,59890,0,7444489203827594711,1,dns-base,,untrust,,ethernet1/2,,023201001129,dns,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,0,allow,0,168.126.63.1,168.126.63.1,,,,,,2024/12/28 05:54:07,3,,,0,0,0x400019,"used-by-malware,has-known-vulnerability,pervasive-use",,,network-protocol,no,dns-base,,53,TRAFFIC,,,,323,,2024-12-28T05:54:07.906+09:00,,2024/12/28 05:53:36,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.199.33,,,,end,118.128.43.82,,58288
<14>Dec 28 05:54:07 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,internet-utility,icmp,,"[""_dateparsefailure""]",aged-out,dbd7a6c6-ca36-4398-80b3-5bab8fa733c2,,294,0,2024-12-27T20:54:07.722Z,,0,192.168.0.0-192.168.255.255,2817,no,N/A,,,288370,0,,6,0,2024/12/28 05:54:07,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:54:07,VISION-SEOUL-FW,3,1,192.168.200.252,,general-internet,0,0x8000000000000000,,294,3,25624,0,7444489203827594710,3,untunneled,,trust,,ae1,,023201001129,,ae1,vsys1,,0,,ALLOW-OUTBOUND,,any,PaloLog-forward,,,trust,0,allow,0,0.0.0.0,192.168.200.1,,,,,,2024/12/28 05:54:07,2,,,0,0,0x100019,"has-known-vulnerability,tunnel-other-application,pervasive-use",,,network-protocol,no,ping,,0,TRAFFIC,,,,588,,2024-12-28T05:54:07.906+09:00,,2024/12/28 05:53:52,0,,192.168.0.0-192.168.255.255,,,VISION-SEOUL-FW.seoulfw 1,192.168.200.254,,,,end,0.0.0.0,,0
<14>Dec 28 05:54:07 VISION-SEOUL-FW.seoulfw 1,from-policy,,,0,,0,0,,,,unknown,udp,,"[""_dateparsefailure""]",policy-deny,e90cbdfb-a61c-4c37-92ea-1fc8d7cd4431,,60,0,2024-12-27T20:54:07.722Z,,7062,Korea Republic Of,2817,no,N/A,,,0,0,,1,0,2024/12/28 05:54:07,NonProxyTraffic,,,VISION-SEOUL-FW.seoulfw 1,2024/12/28 05:54:07,VISION-SEOUL-FW,0,1,192.168.200.252,,unknown,0,0x8000000000000000,,0,1,38059,0,7444489203827594709,1,not-applicable,,untrust,,,,023201001129,,ethernet1/2,vsys1,,0,,intrazone-default,,any,PaloLog-forward,,,untrust,0,deny,0,0.0.0.0,118.128.43.82,,,,,,2024/12/28 05:54:07,1,,,0,0,0x0,,,,unknown,no,not-applicable,,0,TRAFFIC,,,,60,,2024-12-28T05:54:07.906+09:00,,2024/12/28 05:54:03,0,,Korea Republic Of,,,VISION-SEOUL-FW.seoulfw 1,110.45.188.132,,,,drop,0.0.0.0,,0
